Код ELKO;Категория;Подкатегория;Производитель;Заводской код;Название и описание продукта;Дополнительная информация;Цена RUR;В наличии MOS;В наличии SPB;Гарантия;Страница ELKO;Рейтинг PG
1158441;Комплектующие;Видеокарты;PALIT;NEAT7200HD06-2080H;Видеокарта PCIE16 GT720 1Гб GDDR3 NEAT7200HD06-2080H;Chipset-NVIDIA GeForce GT 720/ Graphics memory size-1024 MB/ Memory bus-64 bit/ Graphics connector-PCIE 2.0 8x/ Graphics memory type-GDDR3/ Memory clock-1600 MHz/ GPU clock-797 MHz/ Max resolution-2560x1600/ Cooling system-Single Slot Fansink/ Input/Output connectors:15pin D-sub-1,DVI-1,HDMI-1/ Shipping box quantity-40/ Shipping/Package Box Dimensions:Shipping Box Width-48.5 cm,Shipping Box Depth-57.5 cm,Shipping Box Height-31 cm,Shipping Box Weight-13.24 kg/ Unit Brutto Volume-0.002161 cubm/ Unit Net Weight-0.295 kg/ Unit Gross Weight-0.331 kg/ Parameter Level-3;2624.91;> 40;8;36 месяцев;https://ecom.elko.ru/Catalog/Product/1158441;11
1158442;Комплектующие;Видеокарты;PALIT;NEAT7200HD46-2080H;Видеокарта PCIE16 GT720 2Гб GDDR3 NEAT7200HD46-2080H;Chipset-NVIDIA GeForce GT 720/ Graphics memory size-2048 MB/ Memory bus-64 bit/ Graphics connector-PCIE 2.0 8x/ Graphics memory type-GDDR3/ Memory clock-1600 MHz/ GPU clock-797 MHz/ Max resolution-2560x1600/ Cooling system-Single Slot Fansink/ Input/Output connectors:15pin D-sub-1,DVI-1,HDMI-1/ Shipping box quantity-40/ Shipping/Package Box Dimensions:Shipping Box Width-48.5 cm,Shipping Box Depth-58 cm,Shipping Box Height-31 cm,Shipping Box Weight-13.16 kg/ Unit Brutto Volume-0.00218 cubm/ Unit Net Weight-0.295 kg/ Unit Gross Weight-0.329 kg/ Parameter Level-3;3046.05;> 40;3;36 месяцев;https://ecom.elko.ru/Catalog/Product/1158442;11
1158620;Комплектующие;Видеокарты;ASUS;GT730-2GD3;Видеокарта PCIE16 GT730 2Гб GDDR3 GT730-2GD3;Chipset-NVIDIA GeForce GT 730/ Graphics memory size-2048 MB/ Memory bus-128 bit/ Graphics memory type-GDDR3/ Memory clock-1600 MHz/ GPU clock-700 MHz/ Max resolution-2560x1600/ Cooling system-Single Slot Fansink/ Input/Output connectors:15pin D-sub-1,DVI-1,HDMI-1/ Shipping box quantity-10/ Shipping/Package Box Dimensions:Shipping Box Width-32 cm,Shipping Box Depth-58 cm,Shipping Box Height-25 cm,Shipping Box Weight-8.3 kg/ Unit Brutto Volume-0.00464 cubm/ Unit Net Weight-0.675 kg/ Unit Gross Weight-0.83 kg/ Parameter Level-3;4105.54;звонить;звонить;36 месяцев;https://ecom.elko.ru/Catalog/Product/1158620;11
1158621;Комплектующие;Видеокарты;ASUS;GT730-4GD3;Видеокарта PCIE16 GT730 4Гб GDDR3 GT730-4GD3;Chipset-NVIDIA GeForce GT 730/ Graphics memory size-4096 MB/ Memory bus-128 bit/ Graphics connector-PCIE 2.0 16x/ Graphics memory type-GDDR3/ Memory clock-1100 MHz/ GPU clock-700 MHz/ Max resolution-2560x1600/ Cooling system-Single Slot Fansink/ Input/Output connectors:15pin D-sub-1,DVI-1,HDMI-1/ Shipping box quantity-10/ Shipping/Package Box Dimensions:Shipping Box Width-31.5 cm,Shipping Box Depth-57 cm,Shipping Box Height-24.5 cm,Shipping Box Weight-8.3 kg/ Unit Brutto Volume-0.004399 cubm/ Unit Net Weight-0.68 kg/ Unit Gross Weight-0.83 kg/ Parameter Level-3;5330.59;> 10;3;36 месяцев;https://ecom.elko.ru/Catalog/Product/1158621;11
1158550;Комплектующие;Видеокарты;SAPPHIRE;11221-22-40G;Видеокарта PCIE16 R9 280X 3Гб GDDR5 TRI-X OC 11221-22-40G;Chipset-AMD Radeon R9 280X/ Graphics memory size-3072 MB/ Memory bus-384 bit/ Graphics connector-PCIE 3.0 16x/ Graphics memory type-GDDR5/ Memory clock-1500 MHz/ GPU clock-870 MHz/ GPU boost clock-1020 MHz/ Max resolution-2560x1600/ Cooling system-Dual Slot Fansink/ Input/Output connectors:DVI-2,HDMI-1,Mini DisplayPort-2/ Included Accessories-2 x 2x4-pin to 8-pin cable, CF Bridge Interconnect Cable, HDMI male to male high speed extension cable/ Shipping box quantity-10/ Shipping/Package Box Dimensions:Shipping Box Width-51 cm,Shipping Box Depth-53 cm,Shipping Box Height-40 cm,Shipping Box Weight-19.695 kg/ Unit Brutto Volume-0.01081 cubm/ Unit Net Weight-1.02 kg/ Unit Gross Weight-1.97 kg/ Parameter Level-3;15097.82;10;1;24 месяца;https://ecom.elko.ru/Catalog/Product/1158550;11
1158571;Комплектующие;Видеокарты;PALIT;NEAT7300HDG1-1085F;Видеокарта PCIE16 GT730 4Гб GDDR3 128B NEAT7300HDG1-1085F;Chipset-NVIDIA GeForce GT 730/ Graphics memory size-4096 MB/ Memory bus-128 bit/ Graphics connector-PCIE 2.0 16x/ Graphics memory type-GDDR3/ GPU clock-700 MHz/ Max resolution-2560x1600/ Cooling system-Dual Slot Fansink/ Input/Output connectors:15pin D-sub-1,DVI-1,HDMI-1/ Shipping box quantity-1/ Shipping/Package Box Dimensions:Shipping Box Width-14 cm,Shipping Box Depth-23 cm,Shipping Box Height-5 cm,Shipping Box Weight-0.38 kg/ Unit Brutto Volume-0.00161 cubm/ Unit Net Weight-0.27 kg/ Unit Gross Weight-0.38 kg/ Parameter Level-3;4833.96;> 10;1;36 месяцев;https://ecom.elko.ru/Catalog/Product/1158571;11
1158573;Комплектующие;Видеокарты;MSI;R7260X2GD5OCV1;Видеокарта PCIE16 R7 260X 2Гб GDDR5 R7 260X 2GD5 OCV1;Chipset-AMD Radeon R7 260X/ Graphics memory size-2048 MB/ Memory bus-128 bit/ Graphics connector-PCIE 3.0 16x/ Graphics memory type-GDDR5/ Memory clock-6000 MHz/ GPU clock-1050 MHz/ Max resolution-4096x2160/ Cooling system-Dual Slot Fansink/ Input/Output connectors:DVI-2,HDMI-1,DisplayPort-1/ Shipping box quantity-10/ Shipping/Package Box Dimensions:Shipping Box Width-36 cm,Shipping Box Depth-48 cm,Shipping Box Height-34 cm,Shipping Box Weight-9 kg/ Unit Brutto Volume-0.005875 cubm/ Unit Net Weight-0.495 kg/ Unit Gross Weight-0.9 kg/ Parameter Level-3;7217.81;> 100;5;36 месяцев;https://ecom.elko.ru/Catalog/Product/1158573;11
1158779;Комплектующие;Видеокарты;MSI;N750-1GD5/OCV1;Видеокарта PCIE16 GTX750 1Гб GDDR5 N750-1GD5/OCV1;Chipset-NVIDIA GeForce GTX 750/ Graphics memory size-1024 MB/ Memory bus-128 bit/ Graphics connector-PCIE 3.0 16x/ Graphics memory type-GDDR5/ Memory clock-5000 MHz/ GPU clock-1059 MHz/ GPU boost clock-1137 MHz/ Max resolution-4096x2160/ Cooling system-Dual Slot Fansink/ Input/Output connectors:15pin D-sub-1,DVI-1,HDMI-1/ Shipping box quantity-20/ Shipping/Package Box Dimensions:Shipping Box Width-37 cm,Shipping Box Depth-55 cm,Shipping Box Height-26 cm,Shipping Box Weight-11.2 kg/ Unit Brutto Volume-0.002646 cubm/ Unit Net Weight-0.29 kg/ Unit Gross Weight-0.56 kg/ Parameter Level-3;6522.52;> 100;1;36 месяцев;https://ecom.elko.ru/Catalog/Product/1158779;11
1159292;Комплектующие;Видеокарты;GIGABYTE;GV-N740D3-2GI;Видеокарта PCIE16 GT740 2Гб GDDR3 GV-N740D3-2GI;Chipset-Nvidia GeForce GT 740/ Graphics memory size-2048 MB/ Memory bus-128 bit/ Graphics connector-PCIE 3.0 16x/ Graphics memory type-GDDR3/ Memory clock-1800 MHz/ GPU clock-993 MHz/ Max resolution-2560x1600/ Cooling system-Dual Slot Fansink/ Input/Output connectors:15pin D-sub-1,DVI-2,HDMI-1/ Shipping box quantity-20/ Shipping/Package Box Dimensions:Shipping Box Width-44.5 cm,Shipping Box Depth-54 cm,Shipping Box Height-33 cm,Shipping Box Weight-13.55 kg/ Unit Brutto Volume-0.003965 cubm/ Unit Net Weight-0.56 kg/ Unit Gross Weight-0.678 kg/ Parameter Level-3;5661.68;> 10;2;36 месяцев;https://ecom.elko.ru/Catalog/Product/1159292;11
1159153;Комплектующие;Видеокарты;MSI;N610-1GD3H/LPV1;Видеокарта PCIE16 GT610 1Гб GDDR3 N610-1GD3H/LPV1;Chipset-NVIDIA GeForce GT 610/ Graphics memory size-1024 MB/ Memory bus-64 bit/ Graphics memory type-GDDR3/ Memory clock-1000 MHz/ GPU clock-810 MHz/ Cooling system-Heatsink (passive)/ Input/Output connectors:15pin D-sub-1,DVI-1,HDMI-1/ Shipping box quantity-20/ Shipping/Package Box Dimensions:Shipping Box Width-36.5 cm,Shipping Box Depth-55.5 cm,Shipping Box Height-26.5 cm,Shipping Box Weight-11.65 kg/ Unit Brutto Volume-0.002684 cubm/ Unit Net Weight-0.32 kg/ Unit Gross Weight-0.583 kg/ Parameter Level-3;2175.94;> 100;6;36 месяцев;https://ecom.elko.ru/Catalog/Product/1159153;11
