Артикул;Наименование;Св.;Св.+Тр.;Б.Тр.;Цена, usd;Цена, руб.;Доп.;Гар.;Производитель;Категория;Раздел;Вес [кг];Объём [л]
GS752TSB-100EUS;NETGEAR Managed Smart-switch with 46GE+2SFP(Combo)+2SFP ports with static routing and IPv6, stackable (containing AGC761 cable);много;много;;1290;;;Пожизненная;NETGEAR;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;6.00;16,16
XS708E-100NES;NETGEAR 8-port 10GBase-T ProSafe Plus switch with combo one 10GBase-T/SFP+ port, managed via GUI,Rackmount;много;много;;1550;;;Пожизненная;NETGEAR;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;4.90;17,96
GS728TPP-100EUS;NETGEAR Managed Smart-switch with 24GE+4SFP ports (24 PoE+ ports) with static routing and IPv6,PoE budget up to 384W(up to 720W via EPS);много;много;;1066;;;Пожизненная;NETGEAR;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;5.00;16,18
GS752TP-100EUS;NETGEAR Managed Smart-switch with 48GE+4SFP ports (48 PoE ports with first 8 port supporting PoE+) with static routing and IPv6,PoE budget up to 384W;много;много;;1550;;;Пожизненная;NETGEAR;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;6.40;22,06
GS728TP-100EUS;NETGEAR Managed Smart-switch with 24GE+4SFP ports (24 PoE ports with first 8 port supporting PoE+) with static routing and IPv6,PoE budget up to 192W;1;много;;820.11;;;Пожизненная;NETGEAR;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;5.20;16,42
FS526T-200EUS;NETGEAR Managed Web Smart switch 24FE+2GE;2;2;;196;;;5 лет;NETGEAR;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;2.50;8,46
GS724T-400EUS;NETGEAR Managed Smart-switch with 22GE+2SFP(Combo) ports (repl. GS724T-300EUS);много;много;;327.58999999999997;;;Пожизненная;NETGEAR;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;3.80;18,59
GS716T-300EUS;NETGEAR Managed Smart-switch with 14GE+2SFP(Combo) ports (repl. GS716T-200EUS);много;много;;250;;;Пожизненная;NETGEAR;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;3.70;16,64
FS728TP-100EUS;NETGEAR Managed Smart-switch 24FE+2GE+2SFP(Combo) ports (24FE PoE ports), PoE budget up to 192W;0 *;много;;520.99;;;Пожизненная;NETGEAR;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;2.90;16,42
GS728TPSB-100EUS;NETGEAR Managed Smart-switch with 22GE+2SFP(Combo)+2SFP ports (including 16GE PoE and 8 PoE+ ports) with static routing and IPv6, stackable (containing AGC761 cable), PoE budget up to 192W;1;1;;1182.81;;;Пожизненная;NETGEAR;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;5.40;16,42
