Артикул;Наименование;Св.;Св.+Тр.;Б.Тр.;Цена, usd;Цена, руб.;Доп.;Гар.;Производитель;Категория;Раздел;Вес [кг];Объём [л]
713979-B21;HP 8GB (1x8GB) 2Rx8 PC3L-12800E-11 Low Voltage Unbuffered DIMM for 320ev2/360p/380p Gen8, ML310ev2/350p Gen8, SL230s/250s/SL270s;0;0;;200;;;1 год или по гарантии сервера;HP;Память;01. Серверы -> Опции для серверов;0.01;0,00
726718-B21;HP 8GB (1x8GB) 1Rx4 PC4-2133P-R DDR4 Registered Memory Kit for Gen9;много;много;;287;;;1 год;HP;Память;01. Серверы -> Опции для серверов;0.10;0,34
803026-B21;HP 4GB (1x4GB) 1Rx8 PC4-2133P-R DDR4 Registered Standard Memory Kit for Gen9 DL60/80/120/160/180 & ML 110/150;0;много;;138;;;1 год;HP;Память;01. Серверы -> Опции для серверов;0.04;0,17
726720-B21;HP 16GB (1x16GB) 2Rx4 PC4-2133P-L DDR4 Load Reduced Memory Kit for Gen9;0;0;;584;;;1 год;HP;Память;01. Серверы -> Опции для серверов;0.10;0,16
728629-B21;HP 32GB (1x32GB) 2Rx4 PC4-2133P-R DDR4 Registered Memory Kit for Gen9;0;много;;953;;;1 год;HP;Память;01. Серверы -> Опции для серверов;0.10;0,34
02310WBX;Huawei 16Gb memory module DDR3 1866 R2DIMM Dual Rank LV 1,5V Dimm (for Tecal servers);много;много;;299.2;;;3 года;Huawei;Память;01. Серверы -> Опции для серверов;0.20;0,65
02310UFB;Huawei 8Gb memory module DDR3 1600 R2DIMM Dual Rank LV 1,35V Dimm (for Tecal servers);много;много;;145.19999999999999;;;3 года;Huawei;Память;01. Серверы -> Опции для серверов;0.20;0,68
02310UFC;Huawei 16Gb memory module DDR3 1600 R2DIMM Dual Rank 1,5V Dimm (for Tecal servers);много;много;;291.10000000000002;;;3 года;Huawei;Память;01. Серверы -> Опции для серверов;0.20;0,68
02310WCB;Huawei 8Gb memory module DDR3 1866 R2DIMM Dual Rank LV 1,5V Dimm (for Tecal servers);много;много;;170.3;;;3 года;Huawei;Память;01. Серверы -> Опции для серверов;0.20;0,65
02310WRH;Huawei 32Gb memory module DDR3 1333 LR4DIMM 4 Rank LV 1,35V Dimm (for Tecal servers);0;0;;988.5;;;3 года;Huawei;Память;01. Серверы -> Опции для серверов;0.00;0,00
00D7096;IBM Express 16GB (1x16GB, 2Rx4, 1.35V) PC3L-10600 CL9 ECC DDR3 1333MHz LP RDIMM (x3500 M4/x3550 M3 M4/x3650 M3 M4) (49Y1563);0 *;0;;364;;;1 год или по гарантии сервера;IBM;Память;01. Серверы -> Опции для серверов;0.10;0,19
00FE676;IBM Express 16GB (1x16GB, 2Rx4, 1.5V) PC3-12800 CL11 ECC DDR3 1600MHz LP RDIMM (x3500 M4/x3550 M4/x3650 M4) (00D4968);8;8;;351;;;1 год или по гарантии сервера;IBM;Память;01. Серверы -> Опции для серверов;0.01;0,19
49Y1397;IBM 8GB (1x8GB, 2Rx4, 1.35V) PC3-10600 CL9 ECC DDR3 1333MHz LP RDIMM (x3400 M3/x3500 M3 M4/x3550 M3 M4/x3620 M3/x3630 M3/x3650 M3 M4/x3755 M3);0 *;0;;226;;;1 год или по гарантии сервера;IBM;Память;01. Серверы -> Опции для серверов;0.10;0,14
90Y3109;IBM 8GB (1x8GB, 2Rx4, 1.5V) PC3-12800 CL11 ECC DDR3 1600MHz LP RDIMM (x3550 M4/x3650 M4/x240);1;1;;138;;;1 год или по гарантии сервера;IBM;Память;01. Серверы -> Опции для серверов;0.05;0,19
00FE675;IBM Express 8GB (1x8GB, 1Rx4, 1.35V) PC3L-12800 CL11 ECC DDR3 1600MHz LP RDIMM (x3500 M4/x3550 M4 IVB/x3650 M4 IVB) (00D5036);много;много;;195;;;1 год или по гарантии сервера;IBM;Память;01. Серверы -> Опции для серверов;0.50;0,19
00D5032;IBM 8GB (1x8GB, 1Rx4, 1.5V) PC3-14900 CL13 ECC DDR3 1866MHz LP RDIMM (x3500 M4/x3550 M4 IVB/x3650 M4 IVB);0 *;0;;259;;;1 год или по гарантии сервера;IBM;Память;01. Серверы -> Опции для серверов;0.01;0,19
00FM012;IBM Express 16GB TruDDR4/2Rx4/2133 MHz/1.2V LP RDIMM (x3550 M5, x3650 M5, nx360 M5) (analog 46W0796);много;много;;375;;;1 год или по гарантии сервера;IBM;Память;01. Серверы -> Опции для серверов;0.05;0,19
00FE674;IBM Express 8GB (1x8GB, 2Rx8, 1.35V) PC3L-12800 CL11 ECC DDR3 1600MHz LP RDIMM (x3500 M4/x3550 M4/x3650 M4) (00D5044);много;много;;191;;;1 год или по гарантии сервера;IBM;Память;01. Серверы -> Опции для серверов;0.03;0,19
46W0672;IBM 16GB (1x16GB, 2Rx4, 1.35V) PC3L-12800 CL11 ECC DDR3 1600MHz LP RDIMM (x3500 M4/x3550 M4 IVB/x3650 M4 IVB);0 *;0;;484;;;1 год или по гарантии сервера;IBM;Память;01. Серверы -> Опции для серверов;0.10;0,19
00FE679;IBM Express 8GB (1x8GB, 2Rx8, 1.35V) PC3L-12800 CL11 ECC DDR3 1600MHz LP UDIMM (x3250 M5/x3500 M4 IVB/x3650 M4 IVB/x3650 M4 HD) (00D5016);много;много;;143;;;1 год или по гарантии сервера;IBM;Память;01. Серверы -> Опции для серверов;0.01;0,19
00FE686;IBM Express 8GB 1x8GB, 1Rx4, 1.5V PC3-14900 CL13 ECC DDR3 1866MHz LP RDIMM (x3500 M4 IVB/x3550 M4 IVB/x3650 M4 IVB) (00D5032);0 *;много;;191;;;1 год или по гарантии сервера;IBM;Память;01. Серверы -> Опции для серверов;0.05;0,19
00FM011;IBM Express 8GB TruDDR4(1Rx4/2133 MHz/1.2V) LP RDIMM (x3550 M5);много;много;;219;;;1 год или по гарантии сервера;IBM;Память;01. Серверы -> Опции для серверов;0.05;0,19
00FM013;IBM Express 32GB TruDDR4/4Rx4/2133 MHz/1.2V LP LRDIMM (x3550 M5, x3650 M5, nx360 M5) (analog 46W0800);0;0;;1410;;;1 год или по гарантии сервера;IBM;Память;01. Серверы -> Опции для серверов;0.50;0,19
0C19500;ThinkServer 8GB DDR3L-1600MHz (2Rx8) ECC UDIMM;0;много;;132.30000000000001;;;1 год;Lenovo;Память;01. Серверы -> Опции для серверов;0.10;0,31
0C19499;ThinkServer 4GB DDR3L-1600MHz (1Rx8) ECC UDIMM;0;много;;80.2;;;1 год;Lenovo;Память;01. Серверы -> Опции для серверов;0.10;0,31
0C19534;ThinkServer 8GB DDR3L-1600MHz (2Rx8) RDIMM for Gen4;много;много;;175.7;;;1 год;Lenovo;Память;01. Серверы -> Опции для серверов;0.10;0,32
4X70F28589;Lenovo 8GB DDR4-2133MHz (1Rx4) RDIMM for RD650 RD550 TD350 RD350 RD450;мало;много;;235.3;;;1 год;Lenovo;Память;01. Серверы -> Опции для серверов;0.10;0,32
4X70F28590;Lenovo 16GB DDR4-2133MHz (2Rx4) RDIMM for RD650 RD550 TD350 RD350 RD450;0 *;много;;382.9;;;1 год;Lenovo;Память;01. Серверы -> Опции для серверов;0.10;0,31
4X70F28591;Lenovo 32GB DDR4-2133MHz (4Rx4) LRDIMM for RD650 RD550 TD350 RD350 RD450;0;0;;1063.5999999999999;;;1 год;Lenovo;Память;01. Серверы -> Опции для серверов;0.10;0,32
0C19535;ThinkServer 16GB DDR3L-1600MHz (2Rx4) RDIMM for Gen4;0 *;2;;328.2;;;1 год;Lenovo;Память;01. Серверы -> Опции для серверов;0.10;0,31
0C19533;ThinkServer 4GB DDR3L-1600MHz (1Rx8) RDIMM for Gen4;много;много;;120.9;;;1 год;Lenovo;Память;01. Серверы -> Опции для серверов;0.05;0,27
8GBECCRAM;8GB DDR3 ECC RAM Module (for expanding RS3413xs+/RS3614xs+/RS10613xs+);много;много;;91;;;1 год;Synology;Память;01. Серверы -> Опции для серверов;0.10;0,91
4GBECCRAM;4GB DDR3 ECC RAM Module (for expanding RS3413xs+/RS3614xs+/RS10613xs+);много;много;;30;;;1 год;Synology;Память;01. Серверы -> Опции для серверов;0.10;0,80
Категория - 01. Серверы->Опции для серверов-> Приводы, FDD;;;;;;;;;;;;;
429-14852;DELL DVD+/-RW, SATA drive kit for R210II/T20 (without cable);6;6;;;1919;;;Dell;Приводы, FDD;01. Серверы -> Опции для серверов;0.40;7,04
429-16408;DELL DVD+/-RW, SATA drive kit for 8HDD R320 / R420 / R620 (without cable) - Kit (analog 429-16408);0;0;;;3159.5;Нов.;;Dell;Приводы, FDD;01. Серверы -> Опции для серверов;0.10;6,44
429-16256;DELL DVD+/-RW, SATA drive kit for 4HDD R320 / R420 (without cable) - Kit (analog 429-16440);0;0;;;3159.5;Нов.;;Dell;Приводы, FDD;01. Серверы -> Опции для серверов;0.40;7,04
624192-B21;HP SATA DVD-RW, Half-Height, JackBlack Optical Drive for ML350p/350e Gen8 & MicroServer;0 *;0;;61;;;1 год;HP;Приводы, FDD;01. Серверы -> Опции для серверов;1.00;9,45
652238-B21;HP SATA DVD ROM, 9.5mm, JackBlack Optical Drive for DL160/320e/360p/360e Gen8;0;0;;117;;;1 год;HP;Приводы, FDD;01. Серверы -> Опции для серверов;0.60;13,50
652232-B21;HP SATA DVD ROM, 12.7mm Slim, JackBlack Optical Drive for DL380p/380e/385p Gen8;много;много;;112;;;1 год;HP;Приводы, FDD;01. Серверы -> Опции для серверов;0.66;11,83
652235-B21;HP SATA DVD-RW, 12.7mm Slim, JackBlack Optical Drive for DL380p/380e/385p Gen8;0 *;1;;132;;;1 год;HP;Приводы, FDD;01. Серверы -> Опции для серверов;0.40;12,75
652241-B21;HP SATA DVD-RW, 9.5mm, JackBlack Optical Drive for DL160/320e/360p/360e Gen8 & MicroServer Gen8;0;2;;163;;;1 год;HP;Приводы, FDD;01. Серверы -> Опции для серверов;0.40;12,43
726537-B21;HP SATA DVD-RW, 9.5mm, JackBlack Optical Drive for DL60/160/180/360/380 (for DL380 req 724865-B21) Gen9 and ML150/350 Gen9 Kit;много;много;;159;;;;HP;Приводы, FDD;01. Серверы -> Опции для серверов;0.50;11,83
764632-B21;HP DVD/USB Universal Media Bay (DVD RW, USB 2.0, and VGA) Kit for 8SFF DL360 Gen9;много;много;;159;;;3 года;HP;Приводы, FDD;01. Серверы -> Опции для серверов;0.30;3,30
726536-B21;HP SATA DVD-ROM, 9.5mm, JackBlack Optical Drive for DL60/160/180/360/380 Gen9 and ML150/350 Gen9 Kit;много;много;;123;;;1 год;HP;Приводы, FDD;01. Серверы -> Опции для серверов;0.30;17,92
725582-B21;HP Optical Disk Drive Enablement Kit for DL180 Gen9;0 *;2;;36;;;1 год;HP;Приводы, FDD;01. Серверы -> Опции для серверов;0.50;5,60
02310MEJ;Huawei DVD-RW,SATA, internal SATA for Tecal 1288v2 and 2288v2;много;много;;79.400000000000006;;;1 год;Huawei;Приводы, FDD;01. Серверы -> Опции для серверов;0.30;3,37
46M0902;IBM UltraSlim Enhanced SATA Multi-Burner, (x3250M2 M3 M4/x3400 M3/x3500 M3/x3550M2 M3/x3620 M3/x3650M2 M3/x3850M2 X5/x3950M2/BC-E/BC-H);много;много;;47;;;1 год;IBM;Приводы, FDD;01. Серверы -> Опции для серверов;0.40;1,88
49Y3715;IBM Express IBM Ultraslim Enhanced SATA Multi-Burner (46M0902);0 *;0;;48;;;1 год или по гарантии сервера;IBM;Приводы, FDD;01. Серверы -> Опции для серверов;0.20;2,02
94Y6237;IBM Express HH Half High Multi-burner Optical Drive (x3100 M3/x3200 M3 M4/x3400 M3/x3500 M3 M4) (81Y6404);0 *;0;;5;;;1 год;IBM;Приводы, FDD;01. Серверы -> Опции для серверов;1.20;9,41
Категория - 01. Серверы->Опции для серверов-> Процессоры;;;;;;;;;;;;;
338-BDTIt;Dell PowerEdge Intel Xeon E5-2640v2, 2.0GHz, 20M Cache, 7.2GT/s QPI, Turbo, HT, 8C, 95W, DDR3-1600MHz. for R620/R720/T620 Heatsink not incl.;2;2;;;46500;;;Dell;Процессоры;01. Серверы -> Опции для серверов;0.10;2,10
338-BDVZt;Dell PowerEdge Intel Xeon E5-2403v2, 4-Core, 1.8Ghz, 10M, 80W for R320/R420/R520/T320/T420 Heatsink not incl.;много;много;;;21900;;;Dell;Процессоры;01. Серверы -> Опции для серверов;0.05;0,02
338-BDWBt;Dell PowerEdge Intel Xeon E5-2407v2,4-Core,2.4Ghz,10M,80W for R320/R420/R520/T320/T420 Heatsink not incl.;2;2;;;25900;;;Dell;Процессоры;01. Серверы -> Опции для серверов;0.01;0,01
338-BECUt;Dell PowerEdge Intel Xeon E5-2430v2 2.50GHz, 15M Cache, Turbo, 6C, 80W, Max Mem 1600MHz - for R320/R420/R520/T320/T420 Heatsink not incl. (analog 338-BDWEr).;0;0;;;45400;;;Dell;Процессоры;01. Серверы -> Опции для серверов;0.05;0,35
338-BECYt;Dell PowerEdge Intel Xeon E5-2420v2 2.20GHz, 15M Cache, Turbo, 6C, 80W, Max Mem 1600MHz -for R320/R420/R520/T320/T420 Heatsink not incl.;0;0;;;37800;;;Dell;Процессоры;01. Серверы -> Опции для серверов;0.05;0,33
338-BDTPt;Dell PowerEdge Intel Xeon E5-2630v2, 2.6GHz, 15M Cache, 7.2GT/s QPI, Turbo, HT, 6C, 80W, DDR3-1600MH. for R620/R720/T620 Heatsink not incl.;4;4;;;33200;;;Dell;Процессоры;01. Серверы -> Опции для серверов;0.20;0,39
338-BEDIt;Dell PowerEdge Intel Xeon E5-2450v2 2.50GHz, 20M Cache, Turbo, 8C, 80W, Max Mem 1600MHz - for R320/R420/R520/T320/T420 Heatsink not incl.;0 *;0;;;83900;;;Dell;Процессоры;01. Серверы -> Опции для серверов;0.10;0,31
374-14552t;Dell PowerEdge Intel Xeon E5-2609,4-Core,2.4Ghz,10M,80W Heatsink not incl. R620/R720/T620.;1;1;;;7900;;;Dell;Процессоры;01. Серверы -> Опции для серверов;0.10;0,33
338-BFFVt;Dell PowerEdge Intel Xeon E5-2620v3 2.4GHz, 15M Cache, Turbo, HT, 6C, 85W, Max Mem 1 866MHz.;0 *;0;;;35464.5;;;Dell;Процессоры;01. Серверы -> Опции для серверов;0.10;0,35
338-BFFTt;Dell PowerEdge Intel Xeon E5-2609v3 1.9GHz, 15M Cache, 6C, 85W, Max Mem 1 600MHz.;9;много;;;24975;;;Dell;Процессоры;01. Серверы -> Опции для серверов;0.07;0,30
338-BFFUt;Dell PowerEdge Intel Xeon E5-2630v3 2.4GHz, 20M Cache, Turbo, HT, 8C, 85W, Max Mem 1 866MHz.;0 *;0;;;54945;;;Dell;Процессоры;01. Серверы -> Опции для серверов;0.10;0,33
338-BFCL;Dell PowerEdge Intel Xeon E5-2690v3 2.6GHz, 12C, 30MB, 9.6GT/s QPI, 135W, Max Mem 2133MHz - Kit for R430/R530/R630/R730/T430/T630 Heatsink not incl;0;0;;;156250;Нов.;;Dell;Процессоры;01. Серверы -> Опции для серверов;0.05;0,02
338-BEDDt;Dell PowerEdge Intel Xeon E5-2440v2 1.90GHz, 20M Cache, Turbo, 8C, 80W, Max Mem 1600MHz - for R320/R420/R520/T320/T420 Heatsink not incl.;0;0;;;65400;;;Dell;Процессоры;01. Серверы -> Опции для серверов;0.10;0,28
338-BFFOt;Dell PowerEdge Intel Xeon E5-2640v3 2.6GHz, 20M Cache, Turbo, HT, 8C, 90W, Max Mem 1 866MHz.;0;0;;;75424.5;;;Dell;Процессоры;01. Серверы -> Опции для серверов;0.05;0,39
734187-B21;HP DL560p Gen8 Intel Xeon E5-4610v2 (2.3GHz/8-core/16MB/95W) Processor Kit;0;0;;2470;;;3 года;HP;Процессоры;01. Серверы -> Опции для серверов;0.70;5,20
733929-B21;HP DL180 Gen9 Intel Xeon E5-2603v3 (1.6GHz/6-core/15MB/85W) Processor Kit;много;много;;499;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;0.70;4,90
719052-B21;HP DL380 Gen9 Intel Xeon E5-2609v3 (1.9GHz/6-core/15MB/85W) Processor Kit;много;много;;636;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;0.50;4,90
755374-B21;HP DL360 Gen9 Intel Xeon E5-2603v3 (1.6GHz/6-core/15MB/85W) Processor Kit;0;0;;466;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;0.50;4,90
755378-B21;HP DL360 Gen9 Intel Xeon E5-2609v3 (1.9GHz/6-core/15MB/85W) Processor Kit;0;много;;636;;;3 года;HP;Процессоры;01. Серверы -> Опции для серверов;0.01;0,00
726658-B21;HP ML350 Gen9 Intel Xeon E5-2620v3 (2.4GHz/6-core/15MB/85W) Processor Kit;1;много;;871;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;1.30;7,96
726663-B21;HP ML150 Gen9 Intel Xeon E5-2603v3 (1.6GHz/6-core/15MB/85W) Processor Kit;0;2;;466;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;1.40;13,72
733918-B21;HP DL180 Gen9 Intel Xeon E5-2630v3 (2.4GHz/8-core/20MB/85W) Processor Kit;7;7;;1244;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;1.00;4,90
765536-B21;HP DL60 Gen9 Intel Xeon E5-2603v3 (1.6GHz/6-core/15MB/85W) Processor Kit;0;2;;466;;;3 года;HP;Процессоры;01. Серверы -> Опции для серверов;0.60;4,90
719051-B21;HP DL380 Gen9 Intel Xeon E5-2620v3 (2.4GHz/6-core/15MB/85W) Processor Kit;0;0;;871;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;0.70;4,62
726661-B21;HP ML350 Gen9 Intel Xeon E5-2609v3 (1.9GHz/6-core/15MB/85W) Processor Kit;0;2;;636;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;1.00;8,87
733921-B21;HP DL180 Gen9 Intel Xeon E5-2620v3 (2.4GHz/6-core/15MB/85W) Processor Kit;0;2;;871;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;0.30;5,18
733925-B21;HP DL180 Gen9 Intel Xeon E5-2609v3 (1.9GHz/6-core/15MB/85W) Processor Kit;много;много;;680;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;0.60;4,90
719053-B21;HP DL380 Gen9 Intel Xeon E5-2603v3 (1.6GHz/6-core/15MB/85W) Processor Kit;0;2;;466;;;3 года;HP;Процессоры;01. Серверы -> Опции для серверов;0.30;5,18
755382-B21;HP DL360 Gen9 Intel Xeon E5-2620v3 (2.4GHz/6-core/15MB/85W) Processor Kit;0 *;2;;871;;;3 года;HP;Процессоры;01. Серверы -> Опции для серверов;1.00;4,90
712743-B21;HP DL360p Gen8 Intel Xeon E5-2603v2 SDHS (1.8GHz/4-core/10MB/80W) Processor Kit;0 *;0;;320;;;3 года;HP;Процессоры;01. Серверы -> Опции для серверов;0.40;4,90
734191-B21;HP DL560p Gen8 Intel Xeon E5-4603v2 (2.2GHz/4-core/10MB/95W) Processor Kit;0;0;;1312;;;3 года;HP;Процессоры;01. Серверы -> Опции для серверов;0.60;4,90
733939-B21;HP DL160 Gen9 Intel Xeon E5-2620v3 (2.4GHz/6-core/15MB/85W) Processor Kit;0;1;;871;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;0.80;4,90
733943-B21;HP DL160 Gen9 Intel Xeon E5-2609v3 (1.9GHz/6-core/15MB/85W) Processor Kit;0 *;0;;636;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;0.50;5,47
755384-B21;HP DL360 Gen9 Intel Xeon E5-2630v3 (2.4GHz/8-core/20MB/85W) Processor Kit;2;2;;1225;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;1.00;4,90
765523-B21;HP DL80 Gen9 Intel Xeon E5-2609v3 (1.9GHz/6-core/15MB/85W) Processor Kit;0;2;;631;;;3 года;HP;Процессоры;01. Серверы -> Опции для серверов;0.60;4,90
763235-B21;HP DL160 Gen9 Intel Xeon E5-2603v3 (1.6GHz/6-core/15MB/85W) Processor Kit;много;много;;499;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;0.90;4,90
765538-B21;HP DL60 Gen9 Intel Xeon E5-2609v3 (1.9GHz/6-core/15MB/85W) Processor Kit;0;2;;631;;;3 года;HP;Процессоры;01. Серверы -> Опции для серверов;0.60;4,90
765521-B21;HP DL80 Gen9 Intel Xeon E5-2603v3 (1.6GHz/6-core/15MB/85W) Processor Kit;0;2;;466;;;3 года;HP;Процессоры;01. Серверы -> Опции для серверов;0.80;4,90
726660-B21;HP ML150 Gen9 Intel Xeon E5-2609v3 (1.9GHz/6-core/15MB/85W) Processor Kit;0;2;;631;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;0.60;4,90
726657-B21;HP ML150 Gen9 Intel Xeon E5-2620v3 (2.4GHz/6-core/15MB/85W) Processor Kit;0;2;;861;;;1 год;HP;Процессоры;01. Серверы -> Опции для серверов;0.60;4,90
779830-B21;HP DL180 Gen9 Intel Xeon E5-2623v3 (3GHz/4-core/10MB/105W) Processor Kit;0;много;;764;;;3 года;HP;Процессоры;01. Серверы -> Опции для серверов;0.30;5,18
686826-B21;HP DL560 Gen8 Intel Xeon E5-4603 (2.0GHz/4-core/10MB/95W) Processor Kit;0 *;0;;600;;;3 года;HP;Процессоры;01. Серверы -> Опции для серверов;0.60;4,90
718358-B21;HP BL460c Gen8 Intel Xeon E5-2650v2 (2.6GHz/8-core/20MB/95W) Processor Kit;1;1;;1900;;;3 года;HP;Процессоры;01. Серверы -> Опции для серверов;1.00;4,90
02310VJJ;Huawei Intel Xeon E5-2630v2 (2.6GHz/6-core/15MB/7.2GT-s QPI/80W) processor option kit for RH1288V2;0 *;0;;764.45;;;3 года;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;3,64
02310VHA;Huawei Intel Xeon E5-2609v2 (2.5GHz/4-core/10MB/6.4GT-s QPI/80W) processor option kit for RH2288H V2;0;0;;320;;;3 года;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;3,64
02310VGW;Huawei Intel Xeon E5-2630v2 (2.6GHz/6-core/15MB/7.2GT-s QPI/80W) processor option kit for RH2288H V2;0;0;;923.6;;;3 года;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;3,64
02310VGT;Huawei Intel Xeon E5-2640v2 (2.0GHz/8-core/20MB/7.2GT-s QPI/95W) processor option kit for RH2288H V2;2;2;;1337.2;;;3 года;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;3,64
02310VSJ;Huawei Intel Xeon E5-2695v2 (2.4GHz/12-core/30MB/8.0GT-s QPI/115W) processor option kit for RH1288V2;1;1;;3526.6;;;3 года;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;3,64
02310VKF;Huawei Intel Xeon E5-2640v2 (2.0GHz/8-core/20MB/7.2GT-s QPI/95W) processor option kit for RH1288V2;0;0;;1337.2;;;1 год;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;3,64
02310YGQ;Huawei Intel Xeon E5-2450v2 (2.5GHz/8-core/20MB/8GT-s QPI/95W) processor option kit for RH2285V2;2;2;;1669.6;;;;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;3,90
02310YGK;Huawei Intel Xeon E5-2403v2 (1.8GHz/4-core/10MB/6.4GT-s QPI/80W) processor option kit for RH2285V2;2;2;;299.2;;;;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;3,90
02310VJM;Huawei Intel Xeon E5-2603v2 (1.8GHz/4-core/10MB/6.4GT-s QPI/80W) processor option kit for RH1288V2;1;1;;315.39999999999998;;;3 года;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;3,64
02310VJG;Huawei Intel Xeon E5-2650v2 (2.6GHz/8-core/20MB/8.0GT-s QPI/95W) processor option kit for RH1288V2;2;2;;1208.9000000000001;;;3 года;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;3,64
02310VGY;Huawei Intel Xeon E5-2620v2 (2.1GHz/6-core/15MB/7.2GT-s QPI/80W) processor option kit for RH2288H V2;много;много;;458.64;;;3 года;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;3,64
02310VGS;Huawei Intel Xeon E5-2650v2 (2.6GHz/8-core/20MB/8.0GT-s QPI/95W) processor option kit for RH2288H V2;0;0;;1758.8;;;3 года;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;3,64
02310WBT;Huawei Intel Xeon E5-2690v2 (3.0GHz/10-core/25MB/8.0GT-s QPI/130W) processor option kit for RH2288H V2;1;1;;3104.9;;;3 года;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;4,20
02310WBU;Huawei Intel Xeon E5-2690v2 (3.0GHz/10-core/25MB/8.0GT-s QPI/130W) processor option kit for RH1288V2;1;1;;3104.9;;;3 года;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;3,64
02310YGM;Huawei Intel Xeon E5-2420v2 (2.2GHz/6-core/15MB/7.2GT-s QPI/80W) processor option kit for RH2285V2;1;1;;615.5;;;;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;3,90
02310YGL;Huawei Intel Xeon E5-2407v2 (2.4GHz/4-core/10MB/6.4GT-s QPI/80W) processor option kit for RH2285V2;1;1;;380.3;;;;Huawei;Процессоры;01. Серверы -> Опции для серверов;0.30;3,90
69Y5676;IBM Intel Xeon E5-2630 6C (2.3GHz, 15MB, 1333MHz, 95W W/Fan) (x3550 M4);1;1;;463;;;1 год или по гарантии сервера;IBM;Процессоры;01. Серверы -> Опции для серверов;0.70;4,50
88Y7324;IBM Intel Xeon Processor E5-4650 8C (2.7GHz, 20MB Cache, 1600MHz, 130W) (x3750 M4);2;2;;1676;;;1 год или по гарантии сервера;IBM;Процессоры;01. Серверы -> Опции для серверов;0.50;4,50
00FE684;IBM Express Intel Xeon Proc E5-2650 v2 8C 2.6GHz 20MB Cache 1866MHz 95W (x3650 M4 IVB) (46W4365);1;1;;1852;;;1 год или по гарантии сервера;IBM;Процессоры;01. Серверы -> Опции для серверов;0.90;5,40
00FM019;IBM Express Intel Xeon E5-2603 v3 6C 1.6GHz/15MB/1600MHz/85W (x3550 M5) (00KA070);1;1;;356;;;1 год или по гарантии сервера;IBM;Процессоры;01. Серверы -> Опции для серверов;1.10;4,97
00FM010;IBM Express Intel Xeon E5-2640 v3 8C 2.6GHz/20MB/1866MHz/90W (x3650 M5) (analog 00FK644);3;3;;1309;;;1 год или по гарантии сервера;IBM;Процессоры;01. Серверы -> Опции для серверов;1.60;14,69
00FM007;IBM Express Intel Xeon E5-2609 v3 6C 1.9GHz/15MB/1600MHz/85W (x3650 M5) (analog 00FK641);5;5;;493;;;1 год или по гарантии сервера;IBM;Процессоры;01. Серверы -> Опции для серверов;1.60;13,39
90Y4590;IBM Express Intel Xeon E5-2603 4C (1.8GHz, 10MB Cache, 1066MHz, 80W) (x3500 M4) (90Y5942);0 *;0;;126;;;1 год;IBM;Процессоры;01. Серверы -> Опции для серверов;6.50;95,76
46W4369;IBM Intel Xeon 10C Processor Model E5-2670v2 115W 2.5GHz/1866MHz/25MB (x3650 M4);0 *;0;;3247;;;1 год или по гарантии сервера;IBM;Процессоры;01. Серверы -> Опции для серверов;0.40;5,10
00FE670;IBM Express Intel Xeon Processor E5-2640 v2 8C 2.0GHz 20MB Cache 1600MHz 95W (x3650 M4) (46W4367);2;2;;1461;;;1 год или по гарантии сервера;IBM;Процессоры;01. Серверы -> Опции для серверов;0.40;5,10
00FE671;IBM Express Intel Xeon 6C Processor Model E5-2630v2 80W 2.6GHz/1600MHz/15MB (x3650 M4) (46W4364);3;3;;997;;;1 год или по гарантии сервера;IBM;Процессоры;01. Серверы -> Опции для серверов;0.40;5,10
